id	class	name_en	name_de	long_name_en	long_name_de	lat	lon	location	description_en	description_de	founded	url	logo	wp_entity_tag_id_en	wp_entity_tag_id_de	links	notes
GreenBalcans	PartnerOrganization	Green Balkans	Green Balkans			42.13573	24.73194	Plovdiv, Bulgaria	Since 2018, OceanCare has been supporting the research activities of the organisation Green Balkans into the distribution, population trends and threats facing the protected harbour porpoises, bottlenose dolphins and common dolphins in Bulgarian waters.	Seit 2018 unterstützt OceanCare die Forschungstätigkeiten der Organisation Green Balkans zu Verbreitung, Bestandsentwicklung und Bedrohungen der geschützten Schweinswale, Grossen Tümmler und Gewöhnlichen Delfine in bulgarischen Gewässern.						AnimalAndSpeciesConservation, Bulgaria, DolphinsAndSmallCetaceans, ScientificResearch	
IonianDolphinProject	PartnerOrganization	IDP	IDP	Ionian Dolphin Project		38.91630	20.88780	Vonitsa, Greece	The Ionian Dolphin Project (IDP) researches and protects dolphins in three Natura 2000 areas: the Central Ionian Sea, the Ambracian Gulf and the waters around Paxos and Antipaxos. OceanCare has been supporting its work since 2004.	Das Ionian Dolphin Project (IDP) erforscht und schützt Delfine in drei Natura-2000-Gebieten: dem zentralionischen Meer, dem Ambrakischen Golf und den Gewässern um Paxos und Antipaxos. OceanCare unterstützt diese Arbeit seit 2004.						AnimalAndSpeciesConservation, CommunityInvolvement, DolphinsAndSmallCetaceans, EasternMediterraneanSea, Greece, ResearchExpeditions, ScientificResearch, Seals	
LPACalais	PartnerOrganization	LPA Calais	LPA Calais	Ligue de Protection des Animaux du Calaisis		50.96018	1.88591	Calais, France	Since 2018, OceanCare has supported the LPA Calais rehabilitation centre in northern France, where weakened and injured seals are rescued, rehabilitated, and released back into the wild.	Seit 2018 unterstützt OceanCare das Rehabilitationszentrum von LPA Calais in Nordfrankreich, das geschwächte und verletzte Robben aufnimmt, pflegt und wieder auswildert.						AnimalAndSpeciesConservation, RescueActivities, Seals	
Morigenos	PartnerOrganization	Morigenos	Morigenos			45.52883	13.56811	Piran, Slovenia	In Slovenia, OceanCare has supported the Morigenos Dolphin Centre since 2020. It serves as a field station for research projects on the protection of bottlenose dolphins in the Gulf of Trieste, where fishing poses a particular threat.	In Slowenien unterstützt OceanCare das Delfinzentrum von Morigenos seit 2020. Es dient als Feldstation für Forschungsprojekte zum Schutz der Grossen Tümmler im Golf von Triest, wo insbesondere die Fischerei eine Bedrohung darstellt.						AnimalAndSpeciesConservation, DolphinsAndSmallCetaceans, ScientificResearch, Slovenia	
OceanCare	PartnerOrganization	OceanCare	OceanCare			47.22953	8.67306	Wädenswil, Switzerland	OceanCare is an international marine conservation non-governmental organisation, founded in Switzerland in 1989. The organisation pursues the protection and restoration of the marine environment and marine wildlife with a strong policy focus, combining research, conservation projects and education. OceanCare’s remit includes marine pollution, climate change, marine mammal hunting and the environmental consequences of fisheries. Its work is supported by a team of scientific, legal and policy experts, and involves strategic collaboration with civil society organisations and coalitions around the world. OceanCare is an officially accredited partner and observer to several UN conventions and other international fora.	OceanCare ist eine Nichtregierungsorganisation, die sich seit 1989 weltweit für die Wiederherstellung der Meeresumwelt sowie den Schutz der Meerestiere einsetzt. Mit Forschungs- und Schutzprojekten, Umweltbildungskampagnen sowie intensivem Einsatz in internationalen Gremien unternimmt die Organisation konkrete Schritte zur Verbesserung der Lebensbedingungen in den Weltmeeren. OceanCare kümmert sich u. a. um Meeresverschmutzung, Klimawandel, Jagd auf Meeressäuger und Umweltfolgen der Fischerei. Diese Arbeit wird von einem Team mit wissenschaftlicher, juristischer und politischer Expertise unterstützt und umfasst die strategische Zusammenarbeit mit zivilgesellschaftlichen Organisationen und Koalitionen auf der ganzen Welt. OceanCare wurde vom Wirtschafts- und Sozialrat der Vereinten Nationen als Sonderberaterin für den Meeresschutz anerkannt und ist offizielle Partnerorganisation in zahlreichen UN-Abkommen und internationalen Konventionen.	1989	https://www.oceancare.org	https://www.oceancare.org/wp-content/uploads/2022/01/OceanCare_logo.svg			AdvocacyWork, BecauseOurPlanetIsBlue, CommunityInvolvement, ScientificResearch	
OliveRidleyProject	PartnerOrganization	ORP	ORP	Olive Ridley Project		5.01690	73.06170	Baa Atoll, Maldives	OceanCare has supported the Olive Ridley Project (ORP) in the rescue and treatment of, and research into injured sea turtles since 2017. With the establishment of the new Sea Turtle Health Institute, new standards for sea turtle medicine in the Indian Ocean are being set.	OceanCare unterstützt das Olive Ridley Project bei der Rettung, Behandlung und Erforschung verletzter Meeresschildkröten seit 2017. Mit dem neuen Sea Turtle Health Institute werden neue Standards für die Meeresschildkrötenmedizin im Indischen Ozean gesetzt.						AnimalAndSpeciesConservation, AquaticWildMeat, CommunityInvolvement, Hunting, Maldives, RescueActivities, ResearchExpeditions, ScientificResearch, SeaTurtles	
PelagosCetaceanResearchInstitute	PartnerOrganization	Pelagos Cetacean Research Institute	Pelagos Cetacean Research Institute			35.32500	25.13060	Heraklion, Crete, Greece	OceanCare has supported the Pelagos Cetacean Research Institute since 2007 and plays a pivotal role in the development of SAvE Whales in collaboration with the Pelagos Cetacean Research Institute and the Foundation for Research and Technology - Hellas  (FORTH). SAvE Whales is the world’s first integrated system that can localise sperm whales and inform ship captains of their presence in real time.	OceanCare unterstützt das Pelagos Cetacean Research Institute seit 2007 und spielt gemeinsam mit diesem Forschungsinstitut und der Foundation for Research and Technology - Hellas (FORTH) eine Schlüsselrolle bei der Entwicklung von SAvE Whales, dem weltweit ersten Warnsystem, das Pottwale lokalisieren und Schiffskapitän:innen in Echtzeit über die Anwesenheit der Tiere informieren kann.						AnimalAndSpeciesConservation, DolphinsAndSmallCetaceans, ScientificResearch, Whales	
SaveTheMed	PartnerOrganization	Save The Med	Save The Med			39.57	2.65	Mallorca, Spain	Marine conservation NGO protecting the Mediterranean ecosystem.							PlasticPollution, ScientificResearch, Spain	No German name, no description and no coordinates in the sheet. Coordinates are an approximation of Mallorca.
TethysResearchInstitute	PartnerOrganization	Tethys Research Institute	Tethys Research Institute			45.47230	9.17900	Milan, Italy	Tethys Research Institute is a non-profit research organisation supporting marine conservation through science and public awareness with a focus on large marine vertebrates. OceanCare has cooperated with Tethys since 2004 in various areas – most recently as part of the Pelagos Consortium in the north-western Mediterranean Sea, where a PSSA (Particularly Sensitive Sea Area) was adopted by the International Maritime Organization (IMO) in July 2023 and came into force in January 2024. It is the first PSSA to be designated by the IMO explicitly to protect whales from the impact of maritime traffic.	Das Tethys Research Institute ist ein gemeinnütziges Forschungsinstitut mit Fokus auf den Schutz von Waltieren und ihrer Lebensräume. OceanCare arbeitet seit 2004 in verschiedenen Bereichen mit Tethys zusammen – unter anderem im nordwestlichen Mittelmeer, wo die Internationale Seeschifffahrts-Organisation (IMO) im Juli 2023 eine Particularly Sensitive Sea Area (PSSA, «Besonders empfindliches Meeresgebiet») auswies, die im Januar 2024 in Kraft trat. Es ist die erste PSSA der IMO, die ausdrücklich dem Schutz von Walen vor den Auswirkungen des Schiffsverkehrs dient.						AnimalAndSpeciesConservation, CommunityInvolvement, DolphinsAndSmallCetaceans, ResearchExpeditions, ScientificResearch, Whales	
iSeas	PartnerOrganization	iSea	iSea			40.60192	22.95759	Thessaloniki, Greece	iSea works to protect endangered sharks and rays in the Ambracian Gulf in western Greece, an Important Shark and Ray Area and key breeding and nursery ground for several species. Its #zeroplastic campaign also tackles plastic pollution through education and efforts to reduce single-use plastic. OceanCare has supported iSea and both areas of its work since 2019.	iSea setzt sich für den Schutz gefährdeter Haie und Rochen im Ambrakischen Golf im Westen Griechenlands ein, einem als «Important Shark and Ray Area» ausgewiesenen Gebiet, das ein wichtiges Fortpflanzungs- und Aufwuchsgebiet für mehrere Arten ist. Mit der Kampagne #zeroplastic engagiert sich iSea zudem durch Bildungsarbeit und Massnahmen zur Reduktion von Einwegplastik gegen die Plastikverschmutzung. OceanCare unterstützt iSea in beiden Arbeitsbereichen seit 2019.						AnimalAndSpeciesConservation, EasternMediterraneanSea, Greece, PlasticPollution, ScientificResearch, Sharks	
BecauseOurPlanetIsBlue	Project	Because Our Planet Is Blue	Because Our Planet Is Blue			47.22953	8.67306	Wädenswil, Switzerland								BBNJ, DeepSeaMining, Fisheries, FossilFuels, OceanCare, PlasticPollution, Shipping, UNOC	New programme. Its 'Bottom Trawling' tag was read as the Fisheries topic -- confirm. No coordinates in the sheet; placed at the OceanCare office.
SAVEWhales	Project	SAvE Whales	SAvE Whales			35.8428	23.2325	Kythira Strait, Greece	OceanCare enables the development of the SAvE Whales warning system					921		ACCOBAMS, AdvocacyWork, AnimalAndSpeciesConservation, EasternMediterraneanSea, FORTH, Greece, PelagosCetaceanResearchInstitute, ScientificResearch, Shipping	No coordinates in the sheet; placed in the Kythira Strait, where its hydrophone array operates.
